Meetup Name,Location,Link,Members
New Hampshire Python Group,"Manchester, NH",https://www.meetup.com/New-Hampshire-Python-Group/,553
The Boston Python User Group,"Cambridge, MA",https://www.meetup.com/bostonpython/,9768
Learn Python Programming,"Boston, MA",https://www.meetup.com/Learn-Python-Programming/,410
Boston Twisted Python,"Somerville, MA",https://www.meetup.com/Boston-Twisted-Python/,92
NH Data Science Meetup (Manchester & Seacoast),"Manchester, NH",https://www.meetup.com/NH-Data-Science-Meetup-Manchester/,479
ODSC Data Science Boston,"Cambridge, MA",https://www.meetup.com/odsc-open-source-data-science/,2643
Django Boston Meetup Group,"Cambridge, MA",https://www.meetup.com/djangoboston/,2993
Boston AI and Machine Learning,"Boston, MA",https://www.meetup.com/boston-ai-machine-learning/,255
Sports Analytics @ Sports Innovation Lab,"Boston, MA",https://www.meetup.com/sports-data-at-sports-innovation-lab/,1126
PyLadies Boston,"Boston, MA",https://www.meetup.com/PyLadies-Boston/,1176
Boston Software Engineers,"Boston, MA",https://www.meetup.com/bostonsoftware/,3521
Women Who Code Boston,"Boston, MA",https://www.meetup.com/Women-Who-Code-Boston/,5533
Boston Machine Learning,"Cambridge, MA",https://www.meetup.com/bostonml/,7327
Boston AI Network.com (Artificial Intelligence Group),"Boston, MA",https://www.meetup.com/Boston-AI-Network-Artificial-Intelligence-Group/,3167
