Meetup Name,Location,Link,Members
OCPython: US.CA.Orange County's Python Community Group,"Irvine, CA",https://www.meetup.com/OCPython/,2894
Python Data Science LA,"Santa Monica, CA",https://www.meetup.com/Python-Data-Science-Los-Angeles/,2398
SoCal Python,"Los Angeles, CA",https://www.meetup.com/socalpython/,3242
Los Angeles LAMP Developers (PHP/Perl/Python/Mysql/Apache),"Los Angeles, CA",https://www.meetup.com/lalamp/,563
Python Hackathons,"Los Angeles, CA",https://www.meetup.com/Python-Hackathons/,180
Santa Monica Python Meetup,"Santa Monica, CA",https://www.meetup.com/Santa-Monica-Python-Meetup/,110
SCV Data Science and Machine Learning,"Valencia, CA",https://www.meetup.com/SCV-Data-Science-and-Machine-Learning/,274
Inland Empire Pyladies,"Riverside, CA",https://www.meetup.com/iepyladies/,208
LetsCodeSCV (Santa Clarita Valley),"Valencia, CA",https://www.meetup.com/CodeSCV-Santa-Clarita-Valley/,211
ODSC Los Angeles Data Science,"Los Angeles, CA",https://www.meetup.com/Data-Science-ODSC-Los-Angeles/,541
PyLadies of Los Angeles,"Los Angeles, CA",https://www.meetup.com/Pyladies-LA/,1294
