Meetup Name,Location,Link,Members
South Florida Python Users Group (SoFloPy),"Fort Lauderdale, FL",https://www.meetup.com/SoFloPy/,135
Python Developers Miami,"Miami, FL",https://www.meetup.com/Python-Developers-Miami-Meetup/,378
Miami Python Meetup Group,"Miami, FL",https://www.meetup.com/python-miami/,687
Miami PyLadies,"Miami, FL",https://www.meetup.com/Miami-PyLadies/,73
ODSC Miami Data Science,"Miami, FL",https://www.meetup.com/ODSC-Miami-Data-Science/,66
Data Science Study Group: South Florida,"Miami, FL",https://www.meetup.com/Data-Science-Study-Group-South-Florida/,1361
South Florida DevOps Group,"Boca Raton, FL",https://www.meetup.com/South-Florida-DevOps-Group/,194
Fort Lauderdale Machine Learning Meetup,"Fort Lauderdale, FL",https://www.meetup.com/Fort-Lauderdale-Machine-Learning-Meetup/,1905
<Breathe Code/>,"Miami, FL",https://www.meetup.com/breathe-code/,845
Miami Data Science Meetup,"Miami, FL",https://www.meetup.com/Miami-Data-Science-Meetup/,1475
